frame_idx,source,ocr_text,ocr_raw,status_text,hsv_label,hsv_green,hsv_red,vcb_box,label_box,status_box,num_boxes,yolo_ms,total_ms,fps
83,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.306) | From Aux Tr 4TR41-Y(0.676),"green (g=388, r=0)",green,388,0,"425,232,1020,719,0.9769","585,604,862,671,0.9681","514,601,539,622,0.9280",3,46.585,213.443,4.685
84,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.882) | From Aux Tr 4TR41-Y(0.756),"green (g=451, r=0)",green,451,0,"430,231,1024,719,0.9731","590,604,868,671,0.9614","519,602,544,622,0.9647",3,46.723,189.616,5.274
85,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.624) | From Aux Tr 4TRAI-Y(0.611),"green (g=436, r=0)",green,436,0,"439,236,1038,720,0.9750","595,604,875,671,0.9744","525,602,551,623,0.9642",3,39.516,215.287,4.645
86,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.654) | From Aux Tr 4TRA1-Y(0.579),"green (g=418, r=0)",green,418,0,"445,237,1048,720,0.9716","604,605,884,672,0.9662","532,603,559,624,0.9421",3,45.150,192.307,5.200
87,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.893) | From Aux Tr 4TR4I-Y(0.653),"green (g=444, r=0)",green,444,0,"457,229,1055,720,0.9829","614,605,893,672,0.9577","541,604,567,624,0.9217",3,38.752,172.140,5.809
88,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.569) | From Aux Tr 4TR4I-Y(0.576),"green (g=442, r=0)",green,442,0,"463,229,1064,720,0.9755","623,606,904,674,0.9584","550,605,576,625,0.9243",3,39.049,175.930,5.684
89,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.525) | From Aux Tr 4TR41-Y(0.630),"green (g=442, r=0)",green,442,0,"469,227,1070,719,0.9762","631,606,914,673,0.9586","558,605,584,625,0.9058",3,45.052,171.566,5.829
90,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.471) | From Aux Tr 4TR41-Y(0.696),"green (g=461, r=0)",green,461,0,"473,226,1081,719,0.9772","638,606,923,673,0.9534","566,606,592,626,0.8820",3,39.289,178.630,5.598
91,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.633) | From Aux Tr 4TR4T-Y(0.724),"green (g=486, r=0)",green,486,0,"483,232,1101,720,0.9796","646,606,931,674,0.9508","573,606,599,626,0.8611",3,37.952,181.156,5.520
92,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.696) | From Aux Tr 4TR4I-Y(0.549),"green (g=498, r=0)",green,498,0,"490,232,1110,720,0.9812","654,606,939,674,0.9566","580,606,606,627,0.8827",3,37.260,181.245,5.517
93,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.621) | From Aux Tr 4TR4I-Y(0.696),"green (g=459, r=0)",green,459,0,"494,231,1117,720,0.9730","659,606,948,674,0.9504","586,607,613,627,0.8300",3,41.117,173.495,5.764
94,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.869) | From Aux Tr 4TR4I-Y(0.545),"green (g=476, r=0)",green,476,0,"502,226,1119,718,0.9674","667,606,955,674,0.9519","593,608,619,627,0.8538",3,37.677,169.191,5.910
95,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.638) | From Aux Tr 4TRAI-Y(0.546),"green (g=470, r=0)",green,470,0,"510,218,1123,719,0.9685","673,606,963,675,0.9540","600,608,626,628,0.8681",3,44.995,183.403,5.452
96,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.617) | From Aux Tr 4TR4I-Y(0.544),"green (g=503, r=0)",green,503,0,"515,217,1138,720,0.9745","683,608,971,676,0.9444","606,608,633,629,0.8426",3,37.450,181.245,5.517
97,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.771) | From Aux Tr 4TR4I-Y(0.436),"green (g=478, r=0)",green,478,0,"520,218,1145,720,0.9688","687,609,980,677,0.9367","612,610,638,630,0.9184",3,37.731,171.305,5.838
